-1.562377 53.807817
-1.562453 53.807703
-1.562458 53.807655
-1.562421 53.807589
-1.562345 53.807522
-1.561305 53.807243
-1.561256 53.807048
-1.560817 53.806503
-1.560663 53.806481
-1.560496 53.806488
-1.560480 53.806379
-1.560444 53.806269
-1.560407 53.806112
-1.560043 53.805971
-1.559744 53.805856
-1.559553 53.805815
-1.559231 53.805728
-1.559077 53.805672
-1.558765 53.805568
-1.558413 53.805449
-1.557895 53.805266
-1.557233 53.805028
-1.556660 53.804777
-1.556354 53.804801
-1.556173 53.804800
-1.556081 53.804814
-1.555940 53.804924
-1.555709 53.805039
-1.555436 53.805105
-1.555309 53.805096
-1.554585 53.805090
-1.553928 53.805085
-1.553555 53.805083
